# t, u(t), y(t)
# ================
0.000000000000000000e+00 -5.727166842067958896e-01 6.049368493359574828e-03
1.000000000000000000e+00 -5.727166842067958896e-01 -1.021665576304926493e+00
2.000000000000000000e+00 -5.727166842067958896e-01 -7.661248569875221959e-01
3.000000000000000000e+00 -5.727166842067958896e-01 -1.410620810754066978e+00
4.000000000000000000e+00 -5.727166842067958896e-01 -1.912913870510587477e+00
5.000000000000000000e+00 -5.727166842067958896e-01 -1.699596579083565873e+00
6.000000000000000000e+00 -5.727166842067958896e-01 -1.536755231114284914e+00
7.000000000000000000e+00 -5.727166842067958896e-01 -2.054323227503243476e+00
8.000000000000000000e+00 3.530310359265544928e-01 -1.711045571591360170e+00
9.000000000000000000e+00 3.530310359265544928e-01 -1.455654429012242401e+00
1.000000000000000000e+01 3.530310359265544928e-01 -2.196259562388057640e-01
1.100000000000000000e+01 3.530310359265544928e-01 -9.498185841862702983e-01
1.200000000000000000e+01 3.530310359265544928e-01 -7.237203426949398999e-01
1.300000000000000000e+01 3.530310359265544928e-01 -1.989527930955541091e-01
1.400000000000000000e+01 -4.010038922383836191e-01 -1.232365123587480099e-01
1.500000000000000000e+01 -4.010038922383836191e-01 -4.533496180743767368e-01
1.600000000000000000e+01 -4.010038922383836191e-01 -1.256835615456115107e+00
1.700000000000000000e+01 -4.010038922383836191e-01 -1.318611670057489027e+00
1.800000000000000000e+01 -4.010038922383836191e-01 -1.900389686424602154e+00
1.900000000000000000e+01 -4.010038922383836191e-01 -8.740701401784474189e-01
2.000000000000000000e+01 -4.010038922383836191e-01 -2.089929791874767240e+00
2.100000000000000000e+01 -8.961960403024329391e-01 -1.662079705711061006e+00
2.200000000000000000e+01 -8.961960403024329391e-01 -1.632311129943593508e+00
2.300000000000000000e+01 -8.961960403024329391e-01 -1.843788978547751478e+00
2.400000000000000000e+01 -8.961960403024329391e-01 -1.615452432621637069e+00
2.500000000000000000e+01 -8.961960403024329391e-01 -2.481801806671537936e+00
2.600000000000000000e+01 -8.961960403024329391e-01 -2.203016492300101437e+00
2.700000000000000000e+01 -8.961960403024329391e-01 -1.956426980249502012e+00
2.800000000000000000e+01 -8.961960403024329391e-01 -4.957421888008664013e-01
2.900000000000000000e+01 -8.961960403024329391e-01 -2.228235121157056575e+00
3.000000000000000000e+01 -4.924240197626774673e-01 -1.620582754114381130e+00
3.100000000000000000e+01 -4.924240197626774673e-01 -1.798847652741316638e+00
3.200000000000000000e+01 -4.924240197626774673e-01 -2.125854894318980115e+00
3.300000000000000000e+01 -4.924240197626774673e-01 -1.775263222687563314e+00
3.400000000000000000e+01 -4.924240197626774673e-01 -2.289479370011652914e+00
3.500000000000000000e+01 -4.924240197626774673e-01 -1.987091704222827104e+00
3.600000000000000000e+01 -4.924240197626774673e-01 -8.210176213508566523e-01
3.700000000000000000e+01 -4.924240197626774673e-01 -1.387577232235007063e+00
3.800000000000000000e+01 2.181799374024033789e-01 -5.704039183084427256e-01
3.900000000000000000e+01 2.181799374024033789e-01 -1.378124164697813292e+00
4.000000000000000000e+01 2.181799374024033789e-01 -7.176881631256492033e-01
4.100000000000000000e+01 2.181799374024033789e-01 -1.797952902740068470e+00
4.200000000000000000e+01 2.181799374024033789e-01 -4.673305039860021770e-01
4.300000000000000000e+01 2.181799374024033789e-01 -4.144146608393086684e-01
4.400000000000000000e+01 2.181799374024033789e-01 -2.772650063446329693e-01
4.500000000000000000e+01 2.181799374024033789e-01 -1.257262299989852394e+00
4.600000000000000000e+01 2.181799374024033789e-01 -5.627533247825752261e-01
4.700000000000000000e+01 -6.092407603364364821e-01 -8.216088883484646832e-01
4.800000000000000000e+01 -6.092407603364364821e-01 -2.234877814618545511e-01
4.900000000000000000e+01 -6.092407603364364821e-01 -1.203431492278486337e+00
5.000000000000000000e+01 -6.092407603364364821e-01 -2.710314025681664685e+00
5.100000000000000000e+01 -6.092407603364364821e-01 -2.415893936550659316e+00
5.200000000000000000e+01 -6.092407603364364821e-01 -1.306317450195518148e+00
5.300000000000000000e+01 1.548286077043778963e-01 -1.785767749780500457e+00
5.400000000000000000e+01 1.548286077043778963e-01 -1.105626598570523367e+00
5.500000000000000000e+01 1.548286077043778963e-01 -6.557314277773385047e-01
5.600000000000000000e+01 9.672111867202066726e-01 -4.317479217781252654e-01
5.700000000000000000e+01 9.672111867202066726e-01 -7.220267194359004659e-01
5.800000000000000000e+01 9.672111867202066726e-01 9.775082905684140400e-01
5.900000000000000000e+01 9.672111867202066726e-01 1.738077893010800956e+00
6.000000000000000000e+01 9.672111867202066726e-01 9.386125563033862473e-01
6.100000000000000000e+01 6.409038666960964470e-01 9.522674063981617643e-02
6.200000000000000000e+01 6.409038666960964470e-01 1.467791164753750710e+00
6.300000000000000000e+01 6.409038666960964470e-01 2.910576162815340373e-01
6.400000000000000000e+01 6.409038666960964470e-01 8.269839453615481784e-01
6.500000000000000000e+01 6.409038666960964470e-01 1.177028866072349356e+00
6.600000000000000000e+01 6.409038666960964470e-01 -1.367094257663767909e-01
6.700000000000000000e+01 -8.154433954336881563e-01 7.603422549587479651e-01
6.800000000000000000e+01 -8.154433954336881563e-01 8.604690491213161652e-01
